,company_name,rating,company_reviews,company_age,number_of_employees
8349,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
8350,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
8351,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
8352,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
8353,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
8354,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
8355,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
8356,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
8357,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
8358,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
8359,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
8360,Reliance Retail,4.1,(18.2k Reviews),17 years old,1 Lakh+ Employees (Global)
8361,Kotak Mahindra B...,3.9,(14.2k Reviews),20 years old,10k-50k Employees (India)
8362,Deloitte,4.1,(11k Reviews),178 years old,10k-50k Employees (India)
8363,Reliance Industr...,4.1,(47.7k Reviews),50 years old,10k-50k Employees (India)
8364,Bharti Airtel,4.1,(12.9k Reviews),28 years old,10k-50k Employees (India)
8365,BYJU'S,3.4,(14.4k Reviews),12 years old,1k-5k Employees (India)
8366,Tata Motors,4.1,(12.5k Reviews),78 years old,10k-50k Employees (India)
8367,Flipkart,4.2,(12.8k Reviews),16 years old,10k-50k Employees (India)
8368,WNS,3.7,(7.4k Reviews),27 years old,10k-50k Employees (India)
8369,IndusInd Bank,3.8,(7k Reviews),29 years old,10k-50k Employees (India)
8370,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8371,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8372,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8373,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8374,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8375,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8376,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8377,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8378,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8379,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8380,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8381,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8382,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8383,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8384,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8385,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8386,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8387,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8388,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8389,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8390,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
8391,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8392,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8393,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8394,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8395,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8396,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
8397,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
8398,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8399,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8400,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8401,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8402,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8403,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
8404,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
8405,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
8406,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8407,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8408,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8409,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8410,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8411,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
8412,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
8413,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
8414,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
8415,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8416,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8417,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8418,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8419,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8420,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
8421,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
8422,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
8423,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
8424,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
8425,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8426,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8427,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8428,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8429,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8430,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
8431,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
8432,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
8433,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
8434,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
8435,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
8436,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8437,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8438,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8439,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8440,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8441,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
8442,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
8443,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
8444,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
8445,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
8446,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
8447,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
8448,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8449,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8450,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8451,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8452,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8453,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
8454,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
8455,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
8456,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
8457,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
8458,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
8459,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
8460,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
8461,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8462,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8463,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8464,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8465,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8466,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
8467,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
8468,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
8469,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
8470,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
8471,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
8472,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
8473,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
8474,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
8475,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8476,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8477,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8478,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8479,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8480,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
8481,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
8482,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
8483,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
8484,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
8485,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
8486,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
8487,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
8488,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
8489,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
8490,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8491,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8492,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8493,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8494,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8495,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
8496,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
8497,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
8498,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
8499,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
8500,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
8501,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
8502,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
8503,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
8504,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
8505,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
8506,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8507,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8508,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8509,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8510,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8511,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
8512,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
8513,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
8514,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
8515,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
8516,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
8517,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
8518,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
8519,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
8520,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
8521,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
8522,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
8523,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8524,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8525,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8526,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8527,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8528,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
8529,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
8530,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
8531,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
8532,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
8533,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
8534,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
8535,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
8536,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
8537,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
8538,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
8539,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
8540,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
8541,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8542,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8543,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8544,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8545,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8546,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
8547,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
8548,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
8549,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
8550,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
8551,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
8552,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
8553,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
8554,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
8555,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
8556,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
8557,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
8558,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
8559,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
8560,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8561,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8562,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8563,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8564,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8565,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
8566,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
8567,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
8568,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
8569,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
8570,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
8571,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
8572,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
8573,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
8574,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
8575,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
8576,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
8577,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
8578,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
8579,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
8580,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8581,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8582,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8583,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8584,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8585,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
8586,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
8587,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
8588,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
8589,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
8590,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
8591,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
8592,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
8593,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
8594,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
8595,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
8596,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
8597,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
8598,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
8599,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
8600,Reliance Retail,4.1,(18.2k Reviews),17 years old,1 Lakh+ Employees (Global)
8601,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8602,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8603,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8604,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8605,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8606,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
8607,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
8608,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
8609,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
8610,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
8611,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
8612,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
8613,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
8614,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
8615,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
8616,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
8617,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
8618,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
8619,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
8620,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
8621,Reliance Retail,4.1,(18.2k Reviews),17 years old,1 Lakh+ Employees (Global)
8622,Kotak Mahindra B...,3.9,(14.2k Reviews),20 years old,10k-50k Employees (India)
8623,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8624,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8625,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8626,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8627,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8628,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
8629,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
8630,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
8631,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
8632,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
8633,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
8634,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
8635,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
8636,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
8637,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
8638,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
8639,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
8640,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
8641,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
8642,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
8643,Reliance Retail,4.1,(18.2k Reviews),17 years old,1 Lakh+ Employees (Global)
8644,Kotak Mahindra B...,3.9,(14.2k Reviews),20 years old,10k-50k Employees (India)
8645,Deloitte,4.1,(11k Reviews),178 years old,10k-50k Employees (India)
8646,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
8647,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8648,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
8649,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
8650,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
8651,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
8652,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
8653,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
8654,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
8655,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
8656,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
8657,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
8658,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
8659,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
8660,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
8661,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
8662,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
8663,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
8664,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
8665,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
8666,Reliance Retail,4.1,(18.2k Reviews),17 years old,1 Lakh+ Employees (Global)
8667,Kotak Mahindra B...,3.9,(14.2k Reviews),20 years old,10k-50k Employees (India)
8668,Deloitte,4.1,(11k Reviews),178 years old,10k-50k Employees (India)
8669,Reliance Industr...,4.1,(47.7k Reviews),50 years old,10k-50k Employees (India)
